,Speed,Left Sensor,Right Sensor,RightMotorDirection,LeftMotorDirection
0,30,980,996,1,1
1,30,979,973,0,1
2,30,985,967,0,1
3,30,981,961,0,1
4,30,986,990,0,1
5,30,975,978,0,1
6,30,980,976,0,1
7,30,980,987,0,1
8,30,981,962,0,1
9,30,978,959,0,1
10,30,978,956,0,1
11,30,981,951,0,1
12,30,982,962,0,1
13,30,979,960,0,1
14,30,1009,969,0,1
15,30,1009,969,0,0
16,30,988,974,0,0
17,30,986,965,0,0
18,30,1000,961,0,1
19,30,1009,968,0,1
20,30,1011,965,0,1
21,30,1008,972,0,0
22,30,1009,969,0,0
23,30,1009,962,0,0
24,30,1011,967,0,0
25,30,1013,971,0,0
26,30,1010,975,0,0
27,30,1010,976,0,0
28,30,1003,972,0,0
29,30,1010,968,0,1
30,30,1010,959,0,0
31,30,981,957,0,1
32,30,980,962,0,1
33,30,981,960,0,1
34,30,981,1005,0,1
35,30,991,989,1,1
36,30,984,1006,0,1
37,30,984,1001,1,1
38,30,983,990,1,1
39,30,982,1004,0,1
40,30,987,1006,1,1
41,30,983,986,1,1
42,30,979,1005,0,1
43,30,987,1003,0,1
44,30,982,966,1,1
45,30,986,1001,0,1
46,30,980,1000,0,1
47,30,979,960,0,1
48,30,978,960,0,1
49,30,980,960,0,1
50,30,979,948,0,1
51,30,999,967,0,1
52,30,1007,963,0,0
53,30,989,970,0,1
54,30,1007,959,0,0
55,30,987,962,0,1
56,30,1006,962,0,0
57,30,1007,967,0,0
58,30,988,961,0,0
59,30,988,964,0,1
60,30,1003,959,0,1
61,30,1005,957,0,0
62,30,992,965,0,1
63,30,1008,956,0,1
64,30,1008,959,0,1
65,30,1007,961,0,0
66,30,985,956,0,1
67,30,1004,956,0,0
68,30,996,955,0,0
69,30,981,966,0,1
70,30,995,963,0,1
71,30,998,963,0,1
72,30,983,964,0,1
73,30,1000,954,0,1
74,30,995,958,0,1
75,30,994,964,0,0
76,30,979,958,1,1
77,30,990,975,1,1
78,30,981,1005,0,1
79,30,990,1004,0,1
80,30,981,978,0,1
81,30,980,1003,0,1
82,30,985,987,0,1
83,30,984,996,1,1
84,30,979,984,0,1
85,30,984,963,0,1
86,30,979,985,0,1
87,30,981,956,0,1
88,30,979,959,0,1
89,30,974,955,0,1
90,30,986,962,0,1
91,30,1006,962,0,1
92,30,1010,973,0,0
93,30,988,969,0,1
94,30,994,967,0,1
95,30,994,968,0,0
96,30,985,958,0,1
97,30,1010,959,0,1
98,30,1007,971,0,0
99,30,994,970,0,0
100,30,989,968,0,0
101,30,1001,970,0,1
102,30,1009,967,0,1
103,30,1009,975,0,0
104,30,986,970,0,1
105,30,984,955,0,1
106,30,979,958,0,1
107,30,979,959,0,1
108,30,980,1007,0,1
109,30,981,977,0,1
110,30,983,957,0,1
111,30,981,967,0,1
112,30,981,958,0,1
113,30,980,955,0,0
114,30,1000,974,0,0
115,30,1002,976,0,0
116,30,1008,978,0,0
117,30,990,969,0,0
118,30,1001,968,0,1
119,30,1011,975,0,1
120,30,1009,972,0,0
121,30,996,978,0,0
122,30,985,968,0,1
123,30,1002,962,0,1
124,30,1009,967,0,0
125,30,1009,969,0,0
126,30,998,966,0,1
127,30,1008,967,0,0
128,30,1007,964,0,0
